"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2012","445.44","431.26","445.72","422.76","324.89K","3.28%"
"06/17/2012","431.30","429.71","440.46","425.51","424.95K","0.24%"
"06/10/2012","430.25","431.03","434.52","418.64","414.57K","-0.18%"
"06/03/2012","431.02","415.15","434.68","411.03","335.32K","3.87%"
"05/27/2012","414.95","431.16","437.91","414.93","316.83K","-3.71%"
"05/20/2012","430.95","423.29","433.38","421.27","320.32K","1.86%"
"05/13/2012","423.10","444.11","444.11","422.17","384.91K","-4.86%"
"05/06/2012","444.72","445.32","448.11","439.88","357.82K","-0.15%"
"04/29/2012","445.37","461.88","465.41","444.97","413.75K","-3.60%"
"04/22/2012","462.02","449.71","462.54","439.74","374.30K","2.58%"
"04/15/2012","450.38","446.10","458.06","443.52","318.13K","0.96%"
"04/08/2012","446.10","457.74","457.74","438.93","350.87K","-2.54%"
"04/01/2012","457.74","463.28","469.86","456.58","263.30K","-1.23%"
"03/25/2012","463.45","461.97","472.34","459.57","323.97K","0.33%"
"03/18/2012","461.91","461.69","469.09","454.25","285.10K","0.03%"
